,period,timestamp,minute,second,type_name,player_name,team_name,play_pattern_name,pass_length,pass_height_name,x,y,end_x,end_y
76,1,00:02:34.893000,2,34,Pass,Aibanbha Kupar Dohling,Goa,Regular Play,7.823043,Ground Pass,44.2,3.4,52.0,2.8
224,1,00:05:39.170000,5,39,Pass,Aibanbha Kupar Dohling,Goa,Regular Play,33.694214,Ground Pass,43.6,30.6,68.5,7.9
249,1,00:06:26.240000,6,26,Pass,Aibanbha Kupar Dohling,Goa,Regular Play,34.982426,Ground Pass,50.1,16.5,81.0,0.1
280,1,00:07:08.361000,7,8,Pass,Aibanbha Kupar Dohling,Goa,Regular Play,11.774549,Ground Pass,24.2,18.2,28.4,29.2
307,1,00:07:54.911000,7,54,Pass,Aibanbha Kupar Dohling,Goa,Regular Play,13.711674,High Pass,46.9,3.4,44.5,16.9
343,1,00:08:25.759000,8,25,Pass,Aibanbha Kupar Dohling,Goa,Regular Play,11.921828,Ground Pass,54.8,6.8,56.5,18.6
349,1,00:08:29.534000,8,29,Pass,Aibanbha Kupar Dohling,Goa,Regular Play,20.72414,Ground Pass,50.6,3.8,71.3,2.8
606,1,00:16:31.901000,16,31,Pass,Aibanbha Kupar Dohling,Goa,Regular Play,30.187746,Ground Pass,36.6,26.7,56.5,4.0
715,1,00:18:41.487000,18,41,Pass,Aibanbha Kupar Dohling,Goa,Regular Play,9.7908125,Ground Pass,27.8,22.0,22.3,30.1
732,1,00:18:57.127000,18,57,Pass,Aibanbha Kupar Dohling,Goa,Regular Play,21.78302,Ground Pass,42.0,10.0,62.3,2.1
738,1,00:19:01.861000,19,1,Pass,Aibanbha Kupar Dohling,Goa,Regular Play,14.358621,Ground Pass,44.1,2.0,47.7,15.9
769,1,00:20:13.716000,20,13,Pass,Aibanbha Kupar Dohling,Goa,Regular Play,33.105892,Ground Pass,63.7,10.4,56.9,42.8
859,1,00:22:00.732000,22,0,Pass,Aibanbha Kupar Dohling,Goa,Regular Play,16.936647,High Pass,53.5,11.1,69.3,17.2
894,1,00:22:46.990000,22,46,Pass,Aibanbha Kupar Dohling,Goa,Regular Play,10.929318,Ground Pass,62.4,8.5,61.6,19.4
1054,1,00:26:53.090000,26,53,Pass,Aibanbha Kupar Dohling,Goa,Regular Play,29.882437,Ground Pass,40.4,12.3,14.0,26.3
1188,1,00:32:27.660000,32,27,Pass,Aibanbha Kupar Dohling,Goa,Regular Play,14.401389,Low Pass,19.7,54.0,28.5,65.4
1383,1,00:38:26.821000,38,26,Pass,Aibanbha Kupar Dohling,Goa,Regular Play,19.940912,Ground Pass,31.3,5.6,17.1,19.6
1391,1,00:38:33.958000,38,33,Pass,Aibanbha Kupar Dohling,Goa,Regular Play,16.47574,Ground Pass,24.8,3.0,41.1,5.4
1583,1,00:49:53.656000,49,53,Pass,Aibanbha Kupar Dohling,Goa,Regular Play,37.164635,Ground Pass,22.3,26.1,54.3,7.2
1615,1,00:50:49.049000,50,49,Pass,Aibanbha Kupar Dohling,Goa,Regular Play,2.4839485,Ground Pass,48.4,32.2,50.0,34.1
1702,2,00:01:43.728000,46,43,Pass,Aibanbha Kupar Dohling,Goa,Regular Play,13.380957,Ground Pass,29.2,33.4,42.0,29.5
1736,2,00:02:28.760000,47,28,Pass,Aibanbha Kupar Dohling,Goa,Regular Play,21.2,Low Pass,46.5,24.0,57.7,6.0
1953,2,00:10:39.232000,55,39,Pass,Aibanbha Kupar Dohling,Goa,Regular Play,20.179197,Ground Pass,39.0,19.7,54.6,6.9
2000,2,00:11:58.091000,56,58,Pass,Aibanbha Kupar Dohling,Goa,Regular Play,13.194695,Ground Pass,69.7,15.2,75.8,3.5
2115,2,00:14:55.582000,59,55,Pass,Aibanbha Kupar Dohling,Goa,Regular Play,16.440195,Ground Pass,29.3,6.9,45.5,4.1
2291,2,00:21:10.435000,66,10,Pass,Aibanbha Kupar Dohling,Goa,Regular Play,12.488795,Ground Pass,66.4,18.1,61.3,29.5
2304,2,00:21:24.603000,66,24,Pass,Aibanbha Kupar Dohling,Goa,Regular Play,5.8898215,Ground Pass,74.9,12.4,78.7,7.9
2472,2,00:26:55.850000,71,55,Pass,Aibanbha Kupar Dohling,Goa,Regular Play,32.08068,Ground Pass,43.2,46.2,46.6,14.3
2630,2,00:32:56.751000,77,56,Pass,Aibanbha Kupar Dohling,Goa,Regular Play,17.301155,Ground Pass,100.2,20.9,117.5,20.7
2645,2,00:33:42.679000,78,42,Pass,Aibanbha Kupar Dohling,Goa,Regular Play,18.97472,Ground Pass,37.2,48.4,47.4,32.4
2651,2,00:33:46.834000,78,46,Pass,Aibanbha Kupar Dohling,Goa,Regular Play,15.3153515,Low Pass,41.4,23.9,53.0,13.9
2758,2,00:37:00.050000,82,0,Pass,Aibanbha Kupar Dohling,Goa,Regular Play,33.039673,Ground Pass,44.4,31.2,71.5,12.3
2842,2,00:40:07.526000,85,7,Pass,Aibanbha Kupar Dohling,Goa,Regular Play,27.708843,Ground Pass,31.1,40.6,42.4,15.3
2962,2,00:44:15.962000,89,15,Pass,Aibanbha Kupar Dohling,Goa,Regular Play,28.915394,Ground Pass,39.0,23.7,12.3,34.8
3197,2,00:51:58.808000,96,58,Pass,Aibanbha Kupar Dohling,Goa,Regular Play,20.354115,Ground Pass,63.5,5.7,56.2,24.7
